NodeNumber,ThreadNumber,SpatialDistribution,TemporalDistribution,TR,ProcessorUtilization ,ChannelWaitingTime,InputWaitingTime,NetworkResponseTime,ChannelUtilization
16,8,UN,Asynchronous,0,4,0,862535,102,455956
16,8,UN,Asynchronous,0,5,0,803943,286,8728
16,8,UN,Asynchronous,0,6,0,739532,509,905884
16,8,UN,Asynchronous,0,7,0,638247,743,187683
16,8,UN,Asynchronous,0,8,0,546533,874,141541
16,8,UN,Asynchronous,0,9,0,497897,1055,804199
16,8,UN,Asynchronous,1,0,457959,1188,806396,137
16,10,UN,Asynchronous,0,1,0,933178,2,268084
16,10,UN,Asynchronous,0,2,0,901664,11,165421
16,10,UN,Asynchronous,0,3,0,878836,35,783009
16,10,UN,Asynchronous,0,4,0,886027,105,661499
16,10,UN,Asynchronous,0,5,0,846923,289,955444
16,10,UN,Asynchronous,0,6,0,755375,598,604126
16,10,UN,Asynchronous,0,7,0,643968,769,585083
16,10,UN,Asynchronous,0,8,0,586142,932,586914
16,10,UN,Asynchronous,0,9,0,538516,1065,520996
16,10,UN,Asynchronous,1,0,491613,1233,783325,147
16,4,HR,Asynchronous,0,1,0,572178,1,393413
16,4,HR,Asynchronous,0,2,0,558476,6,146375
16,4,HR,Asynchronous,0,3,0,604414,19,377216
16,4,HR,Asynchronous,0,4,0,639143,42,881931
16,4,HR,Asynchronous,0,5,0,547472,110,907822
16,4,HR,Asynchronous,0,6,0,448119,158,804123
16,4,HR,Asynchronous,0,7,0,38111,314,990753
16,4,HR,Asynchronous,0,8,0,37793,400,346375
16,4,HR,Asynchronous,0,9,0,311804,490,2179
16,4,HR,Asynchronous,1,0,305073,550,135315,59
16,6,HR,Asynchronous,0,1,0,679129,1,496446
16,6,HR,Asynchronous,0,2,0,707956,8,302955
16,6,HR,Asynchronous,0,3,0,683511,23,719973
16,6,HR,Asynchronous,0,4,0,690876,62,65062
16,6,HR,Asynchronous,0,5,0,64273,182,825714
16,6,HR,Asynchronous,0,6,0,5458,402,114136
16,6,HR,Asynchronous,0,7,0,432759,485,1474
16,6,HR,Asynchronous,0,8,0,420722,667,30658
16,6,HR,Asynchronous,0,9,0,422564,728,156982
16,6,HR,Asynchronous,1,0,347239,821,218018,110
16,8,HR,Asynchronous,0,1,0,803096,2,26069
16,8,HR,Asynchronous,0,2,0,769347,8,922665
16,8,HR,Asynchronous,0,3,0,761153,26,240793
16,8,HR,Asynchronous,0,4,0,683967,58,573162
16,8,HR,Asynchronous,0,5,0,709455,221,735184
16,8,HR,Asynchronous,0,6,0,604509,423,436707
16,8,HR,Asynchronous,0,7,0,505288,679,681152
16,8,HR,Asynchronous,0,8,0,463521,870,919556
16,8,HR,Asynchronous,0,9,0,408886,972,338074
16,8,HR,Asynchronous,1,0,364302,1125,519653,157
16,10,HR,Asynchronous,0,1,0,731229,1,8182
16,10,HR,Asynchronous,0,2,0,781164,9,258657
16,10,HR,Asynchronous,0,3,0,675502,25,449713
16,10,HR,Asynchronous,0,4,0,733372,67,158897
16,10,HR,Asynchronous,0,5,0,634559,185,278748
16,10,HR,Asynchronous,0,6,0,615881,506,56
16,10,HR,Asynchronous,0,7,0,550544,668,805542
16,10,HR,Asynchronous,0,8,0,430889,859,233643
16,10,HR,Asynchronous,0,9,0,470719,958,309814
16,10,HR,Asynchronous,1,0,409884,1194,435669,183
16,4,BR,Asynchronous,0,1,0,442501,1,13195
16,4,BR,Asynchronous,0,2,0,443607,3,981061
16,4,BR,Asynchronous,0,3,0,460454,9,462865
16,4,BR,Asynchronous,0,4,0,458123,22,943092
16,4,BR,Asynchronous,0,5,0,490711,67,113464
16,4,BR,Asynchronous,0,6,0,500619,251,171982
16,4,BR,Asynchronous,0,7,0,453512,328,706573
16,4,BR,Asynchronous,0,8,0,406964,396,323639
16,4,BR,Asynchronous,0,9,0,368315,484,105438
16,4,BR,Asynchronous,1,0,332298,545,141968,53
16,6,BR,Asynchronous,0,1,0,487785,1,119696
16,6,BR,Asynchronous,0,2,0,460979,4,844061
16,6,BR,Asynchronous,0,3,0,506713,13,533961
16,6,BR,Asynchronous,0,4,0,492925,33,58577
16,6,BR,Asynchronous,0,5,0,474015,61,682014
16,6,BR,Asynchronous,0,6,0,532269,179,855214
16,6,BR,Asynchronous,0,7,0,468575,543,321716
16,6,BR,Asynchronous,0,8,0,422222,653,907227
16,6,BR,Asynchronous,0,9,0,3822,784,53589
16,6,BR,Asynchronous,1,0,348186,898,97229,73
16,8,BR,Asynchronous,0,1,0,508909,1,348418
16,8,BR,Asynchronous,0,2,0,503872,5,645099
16,8,BR,Asynchronous,0,3,0,531937,15,225128
16,8,BR,Asynchronous,0,4,0,507399,46,924644
16,8,BR,Asynchronous,0,5,0,528152,119,316422
16,8,BR,Asynchronous,0,6,0,535232,476,424927
16,8,BR,Asynchronous,0,7,0,480331,644,258728
16,8,BR,Asynchronous,0,8,0,435503,918,558167
16,8,BR,Asynchronous,0,9,0,389167,1085,429932
16,8,BR,Asynchronous,1,0,359547,1212,562012,114
16,10,BR,Asynchronous,0,1,0,537593,1,361603
16,10,BR,Asynchronous,0,2,0,575784,6,146961
16,10,BR,Asynchronous,0,3,0,505995,16,159618
16,10,BR,Asynchronous,0,4,0,552845,40,650211
16,10,BR,Asynchronous,0,5,0,531937,127,536873
16,10,BR,Asynchronous,0,6,0,536095,394,76413
16,10,BR,Asynchronous,0,7,0,492379,718,662415
16,10,BR,Asynchronous,0,8,0,441288,916,20813
16,10,BR,Asynchronous,0,9,0,403188,1111,200439
16,10,BR,Asynchronous,1,0,369813,1268,63562,139
16,4,PS,Asynchronous,0,1,0,787135,1,870605
16,4,PS,Asynchronous,0,2,0,781164,9,179881
16,4,PS,Asynchronous,0,3,0,765629,25,114941
16,4,PS,Asynchronous,0,4,0,721782,55,607788
16,4,PS,Asynchronous,0,5,0,609036,149,28801
16,4,PS,Asynchronous,0,6,0,600147,202,291977
16,4,PS,Asynchronous,0,7,0,545556,285,707153
16,4,PS,Asynchronous,0,8,0,487692,365,927063
16,4,PS,Asynchronous,0,9,0,450406,392,787323
16,4,PS,Asynchronous,1,0,388274,483,779236,72
16,6,PS,Asynchronous,0,1,0,904261,2,169803
16,6,PS,Asynchronous,0,2,0,903137,10,854911
16,6,PS,Asynchronous,0,3,0,888765,33,627537
16,6,PS,Asynchronous,0,4,0,854246,85,455521
16,6,PS,Asynchronous,0,5,0,791902,200,680069
16,6,PS,Asynchronous,0,6,0,708413,362,55365
16,6,PS,Asynchronous,0,7,0,612917,493,587738
16,6,PS,Asynchronous,0,8,0,57831,574,596436
16,6,PS,Asynchronous,0,9,0,508989,701,366394
16,6,PS,Asynchronous,1,0,467505,808,651123,93
16,8,PS,Asynchronous,0,1,0,965042,2,384536
16,8,PS,Asynchronous,0,2,0,97462,12,422179
16,8,PS,Asynchronous,0,3,0,965674,37,241966
16,8,PS,Asynchronous,0,4,0,923701,104,177879
16,8,PS,Asynchronous,0,5,0,845989,340,443665
16,8,PS,Asynchronous,0,6,0,764771,504,8136
16,8,PS,Asynchronous,0,7,0,672547,689,887268
16,8,PS,Asynchronous,0,8,0,605648,832,789551
16,8,PS,Asynchronous,0,9,0,547097,978,88269
16,8,PS,Asynchronous,1,0,499688,1105,590332,122
16,10,PS,Asynchronous,0,1,0,977722,2,383884
16,10,PS,Asynchronous,0,2,0,986516,12,676008
16,10,PS,Asynchronous,0,3,0,980612,39,742607
16,10,PS,Asynchronous,0,4,0,965674,118,184151
16,10,PS,Asynchronous,0,5,0,906607,970,432438
16,10,PS,Asynchronous,0,6,0,79234,532,737732
16,10,PS,Asynchronous,0,7,0,707199,751,67511
16,10,PS,Asynchronous,0,8,0,61823,905,326843
16,10,PS,Asynchronous,0,9,0,564482,1048,269897
16,10,PS,Asynchronous,1,0,515257,1184,647461,136
